SAMPLE,clone_1,clone_2,clone_3,clone_4
MPAM05PT1,0.0,0.0661178181083098,0.0,0.1487163397107512
MPAM05PT10,0.0,0.0540707453190478,0.0,0.0916397240502203
MPAM05PT11,0.3182846381626018,0.1907256451436224,0.0420629783885086,0.0
MPAM05PT2,0.0,0.2852007611130677,0.0596200540995162,0.1197511149180209
MPAM05PT3,0.4478364977011368,0.2177499562302,0.0629314090385452,0.03
MPAM05PT4,0.0,0.0609350476999574,0.03,0.0299999999999995
MPAM05PT5,0.0,0.1983124822702827,0.0715862279367642,0.1334666825609972
MPAM05PT6,0.4452089464851773,0.2789990078532411,0.0,0.0
MPAM05PT7,0.0,0.1374420299901506,0.0,0.1779214989742285
MPAM05PT8,0.6103704769339391,0.3896295230660609,0.0,0.0
MPAM05PT9,0.0,0.3425771782085673,0.3342089033278716,0.3061408846787165
